標號,時間,類型,交易對,金額,資費差,before倉位餘額,after倉位餘額,before現金餘額,after現金餘額,總餘額
1,2025-01-02 08:00:00,進場,ETHWUSDT_binance_bybit,-1000.0,-,0.0,1000.0,10000.0,9000.0,10000.0
2,2025-01-02 08:00:00,進場手續費,ETHWUSDT_binance_bybit,-0.7,-,1000.0,1000.0,9000.0,8999.3,9999.3
2,2025-01-02 08:00:00,進場,POPCATUSDT_binance_bybit,-1000.0,-,1000.0,2000.0,8999.3,7999.3,9999.3
3,2025-01-02 08:00:00,進場手續費,POPCATUSDT_binance_bybit,-0.7,-,2000.0,2000.0,7999.3,7998.6,9998.6
3,2025-01-02 08:00:00,進場,XCNUSDT_binance_bybit,-1000.0,-,2000.0,3000.0,7998.6,6998.6,9998.6
4,2025-01-02 08:00:00,進場手續費,XCNUSDT_binance_bybit,-0.7,-,3000.0,3000.0,6998.6,6997.9,9997.9
4,2025-01-02 08:00:00,進場,BRETTUSDT_binance_bybit,-1000.0,-,3000.0,4000.0,6997.9,5997.9,9997.9
5,2025-01-02 08:00:00,進場手續費,BRETTUSDT_binance_bybit,-0.7,-,4000.0,4000.0,5997.9,5997.2,9997.2
5,2025-01-03 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.26,0.00051432,4000.0,4000.0,5997.2,5997.46,9997.46
6,2025-01-03 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.16,0.00031307,4000.0,4000.0,5997.46,5997.61,9997.61
7,2025-01-03 08:00:00,資金費率,XCNUSDT_binance_bybit,1.21,0.00241611,4000.0,4000.0,5997.61,5998.82,9998.82
8,2025-01-03 08:00:00,資金費率,BRETTUSDT_binance_bybit,0.0,0.0,4000.0,4000.0,5998.82,5998.82,9998.82
9,2025-01-04 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.3,0.00060389,4000.0,4000.0,5998.82,5999.12,9999.12
10,2025-01-04 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.0,4.01e-06,4000.0,4000.0,5999.12,5999.13,9999.13
11,2025-01-04 08:00:00,資金費率,XCNUSDT_binance_bybit,0.19,0.00037243,4000.0,4000.0,5999.13,5999.31,9999.31
12,2025-01-04 08:00:00,資金費率,BRETTUSDT_binance_bybit,0.21,0.0004185,4000.0,4000.0,5999.31,5999.52,9999.52
13,2025-01-05 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.49,0.00098262,4000.0,4000.0,5999.52,6000.01,10000.01
14,2025-01-05 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.16,0.00031796,4000.0,4000.0,6000.01,6000.17,10000.17
15,2025-01-05 08:00:00,資金費率,XCNUSDT_binance_bybit,1.35,0.00270378,4000.0,4000.0,6000.17,6001.52,10001.52
16,2025-01-05 08:00:00,資金費率,BRETTUSDT_binance_bybit,0.22,0.00044865,4000.0,4000.0,6001.52,6001.75,10001.75
17,2025-01-06 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.23,0.00045343,4000.0,4000.0,6001.75,6001.97,10001.97
18,2025-01-06 08:00:00,資金費率,POPCATUSDT_binance_bybit,0.2,0.00039134,4000.0,4000.0,6001.97,6002.17,10002.17
19,2025-01-06 08:00:00,資金費率,XCNUSDT_binance_bybit,1.48,0.00295906,4000.0,4000.0,6002.17,6003.65,10003.65
20,2025-01-06 08:00:00,資金費率,BRETTUSDT_binance_bybit,0.0,0.0,4000.0,4000.0,6003.65,6003.65,10003.65
21,2025-01-07 08:00:00,資金費率,ETHWUSDT_binance_bybit,0.63,0.00125426,4000.0,4000.0,6003.65,6004.28,10004.28
